"_id","entity","user_id","date","request","action","operation","taskName","object_id","set_id","givDuration","givFreeTime","__v"
"570948016e5aaa9f4000044d","user","ertest","Sat Apr 09 2016 21:20:49 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"570948226e5aaa9f4000044e","user","ertest","Sat Apr 09 2016 21:21:22 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","checked","לשתות קפה","1","A","02:00","01:00","0"
"570948226e5aaa9f4000044f","user","ertest","Sat Apr 09 2016 21:21:22 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","checked","לצחצח שיניים","2","A","01:00","01:00","0"
"570948226e5aaa9f40000450","user","ertest","Sat Apr 09 2016 21:21:22 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","checked","לאכול","3","A","10:00","01:00","0"
"570948226e5aaa9f40000451","user","ertest","Sat Apr 09 2016 21:21:22 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","checked","להתלבש ","4","A","02:00","01:00","0"
"570948226e5aaa9f40000452","user","ertest","Sat Apr 09 2016 21:21:22 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","checked","לקום","5","A","02:00","01:00","0"
"570a00ec6e5aaa9f400004d7","user","ertest","Sun Apr 10 2016 10:29:48 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"570a00ec6e5aaa9f400004d8","user","ertest","Sun Apr 10 2016 10:29:48 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"570a00ec6e5aaa9f400004d9","user","ertest","Sun Apr 10 2016 10:29:48 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"570a00ec6e5aaa9f400004da","user","ertest","Sun Apr 10 2016 10:29:48 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"570a00ec6e5aaa9f400004db","user","ertest","Sun Apr 10 2016 10:29:48 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"570a016c6e5aaa9f400004df","user","ertest","Sun Apr 10 2016 10:31:56 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"570a016c6e5aaa9f400004e0","user","ertest","Sun Apr 10 2016 10:31:56 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"570a016c6e5aaa9f400004e1","user","ertest","Sun Apr 10 2016 10:31:56 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"570a016c6e5aaa9f400004e2","user","ertest","Sun Apr 10 2016 10:31:56 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"570a016c6e5aaa9f400004e3","user","ertest","Sun Apr 10 2016 10:31:56 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"570ac76e6e5aaa9f40000503","user","ertest","Mon Apr 11 2016 00:36:46 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"570ac76e6e5aaa9f40000504","user","ertest","Mon Apr 11 2016 00:36:46 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"570ac76e6e5aaa9f40000505","user","ertest","Mon Apr 11 2016 00:36:46 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"570ac76f6e5aaa9f40000506","user","ertest","Mon Apr 11 2016 00:36:47 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"570ac76f6e5aaa9f40000507","user","ertest","Mon Apr 11 2016 00:36:47 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"570ac7906e5aaa9f40000508","user","ertest","Mon Apr 11 2016 00:37:20 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"570ac7906e5aaa9f40000509","user","ertest","Mon Apr 11 2016 00:37:20 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"570ac7906e5aaa9f4000050a","user","ertest","Mon Apr 11 2016 00:37:20 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"570ac7906e5aaa9f4000050b","user","ertest","Mon Apr 11 2016 00:37:20 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"570ac7906e5aaa9f4000050c","user","ertest","Mon Apr 11 2016 00:37:20 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
